denominazione,provincia,codice_istat,popolazione
Motta d'Affermo,ME,083059,828
Alì,ME,083002,823
Cassaro,SR,089007,813
Malvagna,ME,083044,794
Moio Alcantara,ME,083053,756
Frazzanò,ME,083026,755
Roccella Valdemone,ME,083074,711
Leni,ME,083037,702
Basicò,ME,083006,679
Mongiuffi Melia,ME,083055,653
Mandanici,ME,083045,629
Scillato,PA,082081,627
Bompensiere,CL,085002,610
Campofelice di Fitalia,PA,082016,548
Floresta,ME,083022,516
Condrò,ME,083018,481
Sclafani Bagni,PA,082069,450
Gallodoro,ME,083031,381
Roccafiorita,ME,083071,228
